[meta] uuid,Sports club,Political party,Church or other religious institution,"Other type of club (music / art, entertainment, social work etc.)",None of the above
33ca3b90-a3c7-0134-8284-0aaafcbd6b1f,FALSE,TRUE,FALSE,TRUE,FALSE
33d45520-a040-0134-833d-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
342665c0-9d8d-0134-6d67-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE
34545960-9d66-0134-fbc2-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE
34a233e0-9d89-0134-c978-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE
35989710-9e23-0134-2613-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE
360c6820-9e6f-0134-c40b-0aaafcbd6b1f,FALSE,FALSE,TRUE,TRUE,FALSE
362cc5f0-9d87-0134-4267-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
36417e50-9e1e-0134-1afb-0aaafcbd6b1f,FALSE,TRUE,TRUE,FALSE,FALSE
367b4310-9d44-0134-4894-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE
368a37b0-9f8b-0134-652c-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE
36eed280-9d88-0134-29a0-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
374544b0-9de6-0134-b0d4-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE
37878a20-a392-0134-ccdf-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
37e03890-9f1e-0134-3db7-0aaafcbd6b1f,FALSE,TRUE,FALSE,FALSE,FALSE
381d9e20-9f0a-0134-a22c-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
386dab50-9fc7-0134-21a5-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
386fe2f0-9d5d-0134-8cec-0a62e1402143,FALSE,FALSE,TRUE,TRUE,FALSE
38a61730-9e10-0134-31ca-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
