[meta] uuid,White (Caucasian),North African / Middle Eastern,Asian (includes Indian),Hispanic or Latino,Black,Other
d6455230-9dd7-0134-4c93-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9458cfd0-9f03-0134-6618-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4ad758e0-9e24-0134-c2f7-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
fe5d1130-9d54-0134-3d7c-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
74e18200-9d4d-0134-45d1-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
17783b90-9d52-0134-7630-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
d2112120-a100-0134-ac17-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
d66f1b20-9ee1-0134-2427-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ab24e000-9d61-0134-5822-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29696f00-a128-0134-de41-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
02e6c430-9d3d-0134-b997-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
588ccc60-9d9f-0134-60ff-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
025b9240-9daf-0134-0fd3-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
130d55e0-9d44-0134-47d3-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
f82d57f0-9d5c-0134-f023-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17661a40-9d4d-0134-4387-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
307baad0-9d3f-0134-6817-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
81d7aef0-a035-0134-4675-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2c7e2a10-9ed9-0134-6772-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
fd265b20-9d5e-0134-7547-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
fb911940-a13a-0134-097e-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
764ca470-9d95-0134-c4b9-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6b848e00-9d39-0134-23e2-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
c7ab1020-9ec7-0134-3729-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
16aa4670-9df9-0134-ba6d-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
aafcfc50-9d55-0134-2426-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15b14c40-9e96-0134-cd9c-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9fad59a0-9d3a-0134-54fd-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
c9e06f80-9d55-0134-24d6-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
a23125b0-9d40-0134-7312-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ffe0b0b0-9d3f-0134-34c3-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5dfbc190-9d58-0134-c0ba-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
7dd11680-9d47-0134-d032-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
eca35c90-9f93-0134-0042-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
77371830-9d3e-0134-6413-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
c66b0aa0-9d4f-0134-0c1d-0a62e1402143,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7abf8f60-9dea-0134-1f4e-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4f33a170-9dcf-0134-3af1-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9ced92c0-9e92-0134-88fa-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
d6d72790-9d52-0134-53ad-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5a4557e0-9f11-0134-cdf0-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
f2451c40-a047-0134-af44-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
88e617b0-9ea7-0134-a5c6-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9a0bbcd0-9e82-0134-c39f-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1c5b9050-9f33-0134-36b0-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dcb82d50-9d5e-0134-74bd-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
c917faf0-9d4d-0134-478f-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
c7e406a0-9e0c-0134-3e6f-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8dae3080-a08e-0134-ff38-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
57b15b10-a039-0134-a9fa-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9a7e4bd0-9de4-0134-f5ac-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ec2e5f20-a039-0134-ed9d-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
a35be1b0-9dbf-0134-c38d-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
52d30c40-9d40-0134-3648-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
52d8c980-a111-0134-7b9c-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3a60dc70-9d3d-0134-c0fc-0a62e1402143,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
3d009410-9efa-0134-4b99-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
f7388a40-9eda-0134-74c8-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
219a9d90-9f83-0134-4ba3-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
94756490-9d5c-0134-84c2-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
14cea7a0-9e06-0134-7635-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
756ad470-a093-0134-4107-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2df117b0-9d8d-0134-6d5a-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58ca8c10-9d5a-0134-b4f7-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
963c0410-9d27-0134-c277-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1bec2e70-9d56-0134-267a-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3a06df90-a03c-0134-e8b9-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7a373c00-9e05-0134-0431-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
e3a01c70-9e0b-0134-5248-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
09657dc0-9d5b-0134-6b8e-0aaafcbd6b1f,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
8919bc40-9d47-0134-80d2-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
53a05ba0-a03a-0134-979a-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
a2fb4070-9d39-0134-24d7-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9bb10430-9e16-0134-2fbd-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
a2b060a0-9dea-0134-9d43-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
5d640fb0-9fcb-0134-2987-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
3246e230-9dc9-0134-f585-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
f9fe0730-9d4c-0134-83af-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
378a9420-9e1f-0134-c935-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
77b53070-9d4f-0134-f199-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
a3978180-9d53-0134-079a-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
